date,datetime,SPOSTMIN,SACTMIN
07/25/2017,2017-07-25 10:03:00,-999,
07/25/2017,2017-07-25 10:10:00,-999,
07/25/2017,2017-07-25 21:10:00,-999,
07/25/2017,2017-07-25 21:17:00,-999,
07/25/2017,2017-07-25 21:24:00,-999,
07/25/2017,2017-07-25 21:30:00,-999,
07/25/2017,2017-07-25 21:38:00,-999,
07/25/2017,2017-07-25 21:45:00,-999,
07/25/2017,2017-07-25 21:52:00,-999,
07/25/2017,2017-07-25 21:59:00,-999,
07/25/2017,2017-07-25 22:03:00,-999,
07/25/2017,2017-07-25 22:10:00,-999,
07/25/2017,2017-07-25 22:17:00,-999,
07/25/2017,2017-07-25 22:24:00,-999,
07/25/2017,2017-07-25 22:30:00,-999,
07/25/2017,2017-07-25 22:38:00,-999,
07/25/2017,2017-07-25 22:45:00,-999,
07/25/2017,2017-07-25 22:52:00,-999,
07/25/2017,2017-07-25 22:59:00,-999,
07/25/2017,2017-07-25 23:03:00,-999,
07/25/2017,2017-07-25 23:10:00,-999,
07/25/2017,2017-07-25 23:17:00,-999,
07/25/2017,2017-07-25 23:24:00,-999,
07/25/2017,2017-07-25 23:30:00,-999,
07/25/2017,2017-07-25 23:38:00,-999,
07/25/2017,2017-07-25 23:45:00,-999,
07/25/2017,2017-07-25 23:52:00,-999,
07/25/2017,2017-07-25 23:59:00,-999,
07/25/2017,2017-07-26 00:03:00,-999,
07/26/2017,2017-07-26 08:52:00,-999,
07/26/2017,2017-07-26 08:59:00,-999,
07/26/2017,2017-07-26 09:03:00,-999,
07/26/2017,2017-07-26 09:10:00,-999,
07/26/2017,2017-07-26 09:17:00,-999,
07/26/2017,2017-07-26 09:24:00,-999,
07/26/2017,2017-07-26 09:30:00,-999,
07/26/2017,2017-07-26 09:38:00,-999,
07/26/2017,2017-07-26 09:45:00,-999,
07/26/2017,2017-07-26 09:52:00,-999,
07/26/2017,2017-07-26 09:59:00,-999,
07/26/2017,2017-07-26 10:03:00,-999,
07/26/2017,2017-07-26 10:10:00,-999,
07/26/2017,2017-07-26 21:10:00,-999,
07/26/2017,2017-07-26 21:17:00,-999,
07/26/2017,2017-07-26 21:24:00,-999,
07/26/2017,2017-07-26 21:30:00,-999,
07/26/2017,2017-07-26 21:38:00,-999,
07/26/2017,2017-07-26 21:45:00,-999,
07/26/2017,2017-07-26 21:52:00,-999,
07/26/2017,2017-07-26 21:59:00,-999,
07/26/2017,2017-07-26 22:03:00,-999,
07/26/2017,2017-07-26 22:10:00,-999,
07/26/2017,2017-07-26 22:17:00,-999,
07/26/2017,2017-07-26 22:24:00,-999,
07/26/2017,2017-07-26 22:30:00,-999,
07/26/2017,2017-07-26 22:38:00,-999,
07/26/2017,2017-07-26 22:45:00,-999,
07/26/2017,2017-07-26 22:52:00,-999,
07/26/2017,2017-07-26 22:59:00,-999,
07/26/2017,2017-07-26 23:03:00,-999,
07/26/2017,2017-07-26 23:10:00,-999,
07/26/2017,2017-07-26 23:17:00,-999,
07/26/2017,2017-07-26 23:24:00,-999,
07/26/2017,2017-07-26 23:30:00,-999,
07/26/2017,2017-07-26 23:38:00,-999,
07/26/2017,2017-07-26 23:45:00,-999,
07/26/2017,2017-07-26 23:52:00,-999,
07/26/2017,2017-07-26 23:59:00,-999,
07/26/2017,2017-07-27 00:03:00,-999,
07/27/2017,2017-07-27 08:52:00,-999,
07/27/2017,2017-07-27 08:59:00,-999,
07/27/2017,2017-07-27 09:03:00,-999,
07/27/2017,2017-07-27 09:10:00,-999,
07/27/2017,2017-07-27 09:17:00,-999,
07/27/2017,2017-07-27 09:24:00,-999,
07/27/2017,2017-07-27 09:30:00,-999,
07/27/2017,2017-07-27 09:38:00,-999,
07/27/2017,2017-07-27 09:45:00,-999,
07/27/2017,2017-07-27 09:52:00,-999,
07/27/2017,2017-07-27 09:59:00,-999,
07/27/2017,2017-07-27 10:03:00,-999,
07/27/2017,2017-07-27 21:10:00,-999,
07/27/2017,2017-07-27 21:17:00,-999,
